year,hires,terminations,net_change,net_change_percent
2000,220,31,189,85.91
2001,1122,203,919,81.91
2002,1067,174,893,83.69
2003,1142,203,939,82.22
2004,1135,205,930,81.94
2005,1097,195,902,82.22
2006,1118,190,928,83.01
2007,1090,159,931,85.41
2008,1108,150,958,86.46
2009,1140,161,979,85.88
2010,1099,143,956,86.99
2011,1101,124,977,88.74
2012,1103,121,982,89.03
2013,1105,103,1002,90.68
2014,1053,96,957,90.88
2015,1059,91,968,91.41
2016,1122,75,1047,93.32
2017,1091,65,1026,94.04
2018,1147,57,1090,95.03
2019,1083,57,1026,94.74
2020,1012,40,972,96.05
